window,floor,bathroom,shower,water,wall,tv,light,coffee,tea,design,noise,lift,smell,spa,pool,parking,flight,time,reception,phone,restaurant,drink,bar,charge,order,service,meal,lounge,roof,terrace,price,view,comfy,size,access,walk,area,terminal,sign,manager,Avg Star Rating,Num Reviews
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8.005,199
0.000,0.003,0.004,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.004,0.001,0.002,0.001,0.033,0.000,0.000,0.009,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,7.552,87
0.000,0.002,0.003,0.001,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.002,0.005,0.001,0.003,0.001,0.006,0.000,0.001,0.207,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.001,7.889,81
0.000,0.003,0.096,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.002,0.003,0.001,0.001,0.000,0.002,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.001,8.048,81
0.000,0.001,0.005,0.002,0.001,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.002,0.002,0.011,0.001,0.001,0.000,0.005,0.001,0.002,0.286,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.000,0.001,8.036,81
0.000,0.001,0.006,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.002,0.106,0.002,0.002,0.001,0.003,0.000,0.001,0.011,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.001,7.717,81
0.000,0.001,0.005,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.002,0.006,0.002,0.002,0.001,0.001,0.000,0.000,0.109,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,7.760,81
0.000,0.003,0.004,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.032,0.000,0.000,0.003,0.008,0.001,0.001,0.000,0.003,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,7.939,81
0.000,0.003,0.017,0.076,0.001,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.001,0.000,0.001,0.002,0.003,0.001,0.003,0.000,0.001,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,8.149,81
0.000,0.137,0.010,0.003,0.002,0.000,0.001,0.002,0.001,0.000,0.000,0.001,0.000,0.000,0.002,0.001,0.000,0.001,0.009,0.006,0.001,0.001,0.001,0.004,0.001,0.000,0.014,0.000,0.000,0.000,0.001,0.001,0.002,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,7.800,81
0.000,0.001,0.005,0.116,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.002,0.000,0.000,0.002,0.003,0.001,0.003,0.000,0.003,0.000,0.000,0.008,0.000,0.000,0.001,0.000,0.000,0.002,0.001,0.001,0.001,0.000,0.000,0.001,0.000,0.001,8.341,81
0.000,0.001,0.278,0.003,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.001,0.001,0.000,0.000,0.003,0.011,0.001,0.002,0.000,0.001,0.001,0.000,0.005,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.000,0.001,8.419,81
0.000,0.007,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.002,0.001,0.000,0.001,0.006,0.020,0.003,0.001,0.001,0.004,0.001,0.000,0.014,0.001,0.000,0.000,0.000,0.001,0.003,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.154,7.966,81
0.000,0.001,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.001,0.000,0.000,0.003,0.011,0.001,0.003,0.000,0.004,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,8.214,81
0.000,0.005,0.003,0.003,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.053,0.001,0.003,0.001,0.002,0.000,0.001,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,7.786,81
0.000,0.001,0.003,0.004,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.047,0.000,0.000,0.001,0.002,0.000,0.001,0.001,0.003,0.001,0.001,0.000,0.004,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,7.385,81
0.000,0.001,0.005,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.061,0.000,0.003,0.004,0.021,0.001,0.003,0.000,0.004,0.001,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,7.880,81
0.000,0.008,0.013,0.004,0.065,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.001,0.003,0.001,0.000,0.001,0.002,0.012,0.001,0.004,0.000,0.004,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.000,0.001,7.640,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
